Name,Latitude,Longitude,Location,Location Details,Asset Type,Operations,Container Type,Volume(m^2),Weight Capacity
76,51.9352524,4.7851481,Service Point,Krimpenerwaard - Pleinstraat 9,Textile Container,Textile Collection,JoBa,2.909,250
72,51.8989077,5.0911707,Service Point,Basisschool Radewijnsz,Textile Container,Textile Collection,JoBa,2.909,250
71,52.0962472,5.091217,Service Point,Van Asch van Wijckschool,Textile Container,Textile Collection,JoBa,2.909,250
70,52.0758049,5.0944484,Service Point,ISN Eyup Sultan Utrecht,Textile Container,Textile Collection,JoBa,2.909,250
69,52.0758049,5.0944484,Service Point,ISN Eyup Sultan Utrecht,Textile Container,Textile Collection,JoBa,2.909,250
68,52.0758049,5.0944484,Service Point,ISN Eyup Sultan Utrecht,Textile Container,Textile Collection,JoBa,2.909,250
67,52.0918602,5.2408904,Service Point,Stichting Europa Oost-Turkistan Educatie Centrum,Textile Container,Textile Collection,JoBa,2.909,250
66,52.0918602,5.2408904,Service Point,Stichting Europa Oost-Turkistan Educatie Centrum,Textile Container,Textile Collection,JoBa,2.909,250
65,52.1208501,4.6496706,Service Point,De Fontein,Textile Container,Textile Collection,JoBa,2.909,250
63,52.16990209999999,4.6383971,Service Point,Kerk Woubrugge elektronica,Textile Container,Textile Collection,JoBa,2.909,250
62,52.1699021,4.6383971,Service Point,Gereformeerde Kerk Woubrugge,Textile Container,Textile Collection,JoBa,2.909,250
61,52.0463725,5.2929923,Service Point,Haci Bayram Driebergen,Textile Container,Textile Collection,JoBa,2.909,250
60,52.1653164,5.4016733,Service Point,Stichting Masjid El Fath,Textile Container,Textile Collection,JoBa,2.909,250
