Service Point Name,Operations,Latitude,Longitude,Address
"Jupiter 75-A, 2651HK te Berkel en Rodenrijs",Textile Collection,52.0055385,4.4868086,"75, Jupiter, Sterrenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 HK, Netherlands"
"Arendshof 14, 2651WL te Berkel en Rodenrijs",Textile Collection,51.9864904,4.4659067,"14, Arendshof, Vogelwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 WL, Netherlands"
"Castor 13, 2651GT te Berkel en Rodenrijs",Textile Collection,52.0032025,4.4874875,"Castor, Sterrenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 GZ, Netherlands"
"Zwanebloemstraat 27, 2651MG te Berkel en Rodenrijs",Textile Collection,51.9886893,4.4680203,"27, Zwanebloemstraat, Parkwijk, Weidebloemwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 MG, Netherlands"
"Orteliusdreef 84, 2661RM te Bergschenhoek",Textile Collection,51.9972466,4.5003557,"84, Orteliusdreef, De Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 RM, Netherlands"
"Noorderkroon 13, 2665BW te Bleiswijk",Textile Collection,52.0101118,4.5479192,"13, Noorderkroon, Hoekeindse Zoom, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 BW, Netherlands"
"Johan van Oldenbarneveltlaan 26, 2651DD te Berkel en Rodenrijs",Textile Collection,51.9913688,4.4760626,"26, Johan van Oldenbarneveltlaan, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 DD, Netherlands"
"Clausstraat 14, 2661BZ te Bergschenhoek",Textile Collection,51.9895366,4.5034206,"14, Clausstraat, Dorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 BZ, Netherlands"
"Beukvaren 29, 2661PE te Bergschenhoek",Textile Collection,51.9953725,4.4980471,"29, Beukvaren, De Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 PE, Netherlands"
"van Goghlaan 17, 2661SC te Bergschenhoek",Textile Collection,51.9968759,4.5039242,"17, van Goghlaan, Oosteindsche Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 SC, Netherlands"
"Edelsteenweg 41, 2651SP te Berkel en Rodenrijs",Textile Collection,52.005362,4.4944391,"39, Edelsteenweg, Edelsteenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 SP, Netherlands"
"Lekplantsoen 7, 2652AG te Berkel en Rodenrijs",Textile Collection,52.0009711,4.4665576,"3, Lekplantsoen, Parkwijk, Rivierenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 AG, Netherlands"
"Oosterscheldestraat 90, 2652JG te Berkel en Rodenrijs",Textile Collection,51.9998961,4.4702446,"92, Oosterscheldestraat, Parkwijk, Rivierenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 JG, Netherlands"
"Mesdagstraat 12, 2665XK te Bleiswijk",Textile Collection,52.008787,4.5254074,"12, Mesdagstraat, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 XK, Netherlands"
"Saffier 74, 2651SX te Berkel en Rodenrijs",Textile Collection,52.0041738,4.4981745,"74, Saffier, Edelsteenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 SX, Netherlands"
"Waghenaerdreef 104, 2661RB te Bergschenhoek",Textile Collection,51.9964172,4.4974116,"106, Waghenaerdreef, De Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 RB, Netherlands"
Wereldkidz Tweesprong,Textile Collection,52.1335773,5.0252682,"OBS Daltonschool Maarssen, Duivenkamp, Maarssenbroek, Maarssen, Stichtse Vecht, Utrecht, Netherlands, 3607 BM, Netherlands"
"Emmastraat 33, 2665CR te Bleiswijk",Textile Collection,52.0072716,4.5306289,"33, Emmastraat, De Tuinen, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 CR, Netherlands"
"Witte de Withstraat 15, 2665AH te Bleiswijk",Textile Collection,52.0143172,4.5287951,"15, Witte de Withstraat, De Tuinen, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 AH, Netherlands"
